Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,NA,₹720,₹534,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-6x-otc695225
Dr. Reckeweg Nux Vomica Dilution 30 CH,11 ml,₹145,₹126,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-30-ch-otc336264
SBL Thuja Occidentalis Dilution 200 CH,30 ml,₹115,₹111,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-200-ch-otc338170
Bakson's Homeopathy Rheum Aid Tablet,200 tablets,₹500,₹349,https://www.1mg.com/otc/bakson-s-homeopathy-rheum-aid-tablet-otc386770
SBL Crataegus Oxyacantha Q Mother Tincture,30 ml,₹105,₹94,https://www.1mg.com/otc/sbl-crataegus-oxyacantha-q-mother-tincture-otc338491
Dr. Reckeweg R16 Migraine and Neuralgia Drop,22 ml,₹285,₹233,https://www.1mg.com/otc/dr.-reckeweg-r16-migraine-and-neuralgia-drop-otc326067
SBL Terminalia Arjuna Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-terminalia-arjuna-mother-tincture-q-otc338411
SBL Damiagra Forte Drop,30 ml,₹400,₹278,https://www.1mg.com/otc/sbl-damiagra-forte-drop-otc385769
Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,20 gm,₹200,₹168,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-6-bc-6-tablet-otc326281
SBL Belladonna Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-belladonna-dilution-30-ch-otc338213
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
SBL Bryonia Alba Dilution 200 CH,30 ml,₹115,₹89,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-200-ch-otc346051
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
SBL Arnica Montana Mother Tincture Q,30 ml,₹240,₹223,https://www.1mg.com/otc/sbl-arnica-montana-mother-tincture-q-otc338517
Dr. Reckeweg R82 Anti Fungal Drop,30 ml,₹330,₹283,https://www.1mg.com/otc/dr.-reckeweg-r82-anti-fungal-drop-otc326002
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Dr. Reckeweg Aalserum 7X Mother Tincture Q,20 ml,₹270,₹243,https://www.1mg.com/otc/dr.-reckeweg-aalserum-7x-mother-tincture-q-otc327821
Hapdco Aqui Plus Cream,25 gm,₹110,₹102,https://www.1mg.com/otc/hapdco-aqui-plus-cream-otc357587
SBL Sabal Serrulata Mother Tincture Q,30 ml,₹280,₹215,https://www.1mg.com/otc/sbl-sabal-serrulata-mother-tincture-q-otc338421
Dr. Reckeweg Rhus Tox Dilution 200 CH,11 ml,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-200-ch-otc331703
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
Dr. Reckeweg Arsenicum Album 30 Dilution,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-30-dilution-otc328906
Dr. Reckeweg R27 Renal Calculi Drop,22 ml,₹285,₹226,https://www.1mg.com/otc/dr.-reckeweg-r27-renal-calculi-drop-otc326057
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
Bakson's Homeopathy Sinus Aid Tablet,75 tablets,₹215,₹150,https://www.1mg.com/otc/bakson-s-homeopathy-sinus-aid-tablet-otc325988
SBL Lycopodium Clavatum Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-30-ch-otc338200
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
SBL Berberis Aquifolium Mother Tincture Q,30 ml,₹240,₹183,https://www.1mg.com/otc/sbl-berberis-aquifolium-mother-tincture-q-otc338512
Wheezal Hekla Lava Dental Cream,100 gm,₹85,₹77,https://www.1mg.com/otc/wheezal-hekla-lava-dental-cream-otc339191
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
SBL Rauwolfia Serpentina Mother Tincture Q,30 ml,₹105,₹99,https://www.1mg.com/otc/sbl-rauwolfia-serpentina-mother-tincture-q-otc338425
